number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_objective,params_subsample,params_tree_method,state
0,0.7994931123488112,0.2104887380166018,0.41614035779077274,logloss,8.974708565486653,0.009119465152798455,15,78,binary:logistic,0.8760720197603942,gpu_hist,COMPLETE
1,0.7930246368536455,0.430876870551647,0.8249550589791224,logloss,0.34184110017462627,0.002127210499290845,5,283,binary:logistic,0.755056649851281,gpu_hist,COMPLETE
2,0.8031447612367872,0.07534482847712978,0.4054507119852392,logloss,0.06401084745239802,0.019162468371737944,20,217,binary:logistic,0.8161824807241169,gpu_hist,COMPLETE
3,0.7935725039670035,0.11498537997244541,0.5328555401858892,logloss,0.0171061637033485,0.003499434217856861,13,182,binary:logistic,0.5985076478499866,gpu_hist,COMPLETE
4,0.8006836100547077,1.3435538486730643,0.4616413940678651,logloss,4.823493930412516,0.02255786733178418,7,119,binary:logistic,0.7124624656950524,gpu_hist,COMPLETE
5,0.7910329851076218,3.477476425617604,0.7257485044682741,logloss,0.4387831172737235,0.001633494411538358,3,233,binary:logistic,0.8192339230260728,gpu_hist,COMPLETE
6,0.802901950360753,0.0057791229720288596,0.7694100986047554,logloss,3.577763303823696,0.017158481736782756,20,115,binary:logistic,0.5104671327874061,gpu_hist,COMPLETE
7,0.7931009707965435,0.0011951175902837998,0.7563532813242297,logloss,0.008612561112422526,0.0011877571098924751,9,260,binary:logistic,0.8596882360874726,gpu_hist,COMPLETE
8,0.800644622216985,1.5544961562609891,0.8830642919904113,logloss,5.970362367351449,0.024206667687296377,7,77,binary:logistic,0.9993383494325592,gpu_hist,COMPLETE
9,0.8017226971251338,0.004612472913328104,0.7300081455510724,logloss,0.14407991837850326,0.02360548171885699,9,225,binary:logistic,0.9248032241531872,gpu_hist,COMPLETE
10,0.7945132898967878,0.022672188329421087,0.3305761809957943,logloss,0.001442829917361214,0.0887359071594985,17,2,binary:logistic,0.598091837946949,gpu_hist,COMPLETE
11,0.8015817550752535,0.013679598314216522,0.9665476572286062,logloss,0.033292393569049956,0.010113261022294996,20,173,binary:logistic,0.4059377766220915,gpu_hist,COMPLETE
12,0.7910632201443621,0.028816976980395793,0.5834076924449759,logloss,1.1185836318388442,0.0631797560586982,20,95,binary:logistic,0.4127463595427995,gpu_hist,COMPLETE
13,0.8009723498277539,0.003218755267251609,0.6130871958439362,logloss,0.06500500958207939,0.00876512000080478,20,137,binary:logistic,0.5812303840521511,gpu_hist,COMPLETE
14,0.7999959725378312,0.05300267747169055,0.3057247273172443,logloss,1.6548155981054797,0.03998849310930326,11,21,binary:logistic,0.500838596534819,gpu_hist,COMPLETE
15,0.7965188960152774,0.008261010583951178,0.6666700953621059,logloss,0.0076453902673210864,0.0046223897653411665,20,200,binary:logistic,0.6597311231039816,gpu_hist,COMPLETE
16,0.8029260662670347,0.001185758787240562,0.47593884203897296,logloss,0.14312097878479166,0.015169399997606041,20,150,binary:logistic,0.7679135440994659,gpu_hist,COMPLETE
17,0.801824622130592,0.001587914213575648,0.4347862691018499,logloss,0.1652965687560425,0.041973974423649606,11,162,binary:logistic,0.7743635421990925,gpu_hist,COMPLETE
18,0.7931042075091231,0.23578058191864104,0.5036232494106275,logloss,0.0021922538655026066,0.005450351453205253,3,215,binary:logistic,0.9421909518188454,gpu_hist,COMPLETE
19,0.7964775253795011,0.05815187832190094,0.3802108326031387,logloss,0.04716297043311866,0.017753370849933153,5,295,binary:logistic,0.7065852868718806,gpu_hist,COMPLETE
20,0.8016981954833581,9.299237431917364,0.5429428650643067,logloss,0.3729458393711536,0.03930410884384349,17,250,binary:logistic,0.7960115404931698,gpu_hist,COMPLETE
21,0.8024920512815198,0.003616346218469905,0.6653920537626075,logloss,1.3976011552727223,0.013880040704341083,20,137,binary:logistic,0.5169500740050593,gpu_hist,COMPLETE
22,0.803012480390013,0.0010054113614851648,0.3724425616766653,logloss,0.016158824372662133,0.016669418493204444,20,108,binary:logistic,0.6609030474945773,gpu_hist,COMPLETE
23,0.8022046383426708,0.0020016605767044712,0.38230232117101587,logloss,0.021783861741874362,0.011971244265543274,20,193,binary:logistic,0.6626054361404335,gpu_hist,COMPLETE
24,0.7962515950493708,0.0011036176706063165,0.49033099753641163,logloss,0.00404052867875397,0.005830500998258611,15,45,binary:logistic,0.7396820762505251,gpu_hist,COMPLETE
25,0.8021940873680332,0.011079945164789958,0.35913598174818867,logloss,0.116363886419925,0.03072232370477994,13,154,binary:logistic,0.8534538293288442,gpu_hist,COMPLETE
26,0.7998226130677843,0.003051005610208553,0.4161715594568495,logloss,0.013324902774850123,0.007016928582645263,20,111,binary:logistic,0.6674635502458943,gpu_hist,COMPLETE
27,0.8025376210342118,0.592170985889445,0.46704038511633356,logloss,0.0724309603376375,0.014432394152428528,20,72,binary:logistic,0.8147653892784924,gpu_hist,COMPLETE
28,0.7988237373015379,0.0010293610564497963,0.3040995869791557,logloss,0.029943651411290476,0.05684445605451233,20,140,binary:logistic,0.9140563899186984,gpu_hist,COMPLETE
29,0.7993936031624138,0.020682875170421302,0.4101073114773435,logloss,0.1859499172563887,0.008482130948326679,15,53,binary:logistic,0.6337817358892421,gpu_hist,COMPLETE
30,0.8018657227678694,0.0025467889706863645,0.5849569144062416,logloss,0.004243769395136195,0.02833123624136207,20,96,binary:logistic,0.7350463932820174,gpu_hist,COMPLETE
31,0.8030705419461078,0.007339441371344682,0.8037641954214461,logloss,2.609424316662601,0.017221008206919308,20,118,binary:logistic,0.5144151778446515,gpu_hist,COMPLETE
32,0.7965113163318898,0.005870510233558841,0.8809024880085734,logloss,0.7529354413508452,0.018244885350463664,5,95,binary:logistic,0.7746854122607046,gpu_hist,COMPLETE
33,0.8019124582275011,0.05169117922789271,0.9607278994646997,logloss,2.909447068521006,0.010706149441568875,20,165,binary:logistic,0.5494551771115099,gpu_hist,COMPLETE
34,0.7936103664204684,0.1463906465797729,0.531691412497667,logloss,0.011843474160650796,0.0033685254645687166,13,185,binary:logistic,0.437466053723464,gpu_hist,COMPLETE
35,0.7939699328209175,0.0021352111907609705,0.8276979599629399,logloss,0.22374424309978289,0.019336898192070257,3,125,binary:logistic,0.4662439794544676,gpu_hist,COMPLETE
36,0.7969102848583738,0.33797275094202534,0.4380705889579176,logloss,0.598829906406939,0.013622860027061224,7,270,binary:logistic,0.8339138272788748,gpu_hist,COMPLETE
37,0.8024726354742324,0.008625905951009986,0.3909551979659684,logloss,0.06918445655867703,0.031549894202927954,20,207,binary:logistic,0.6325704182505875,gpu_hist,COMPLETE
38,0.8014321736728018,0.0019081440404737089,0.34625240821050135,logloss,8.962049630744037,0.02212712323824798,9,238,binary:logistic,0.8891666437775573,gpu_hist,COMPLETE
39,0.7940264781351903,0.08805473526926758,0.8151481962926044,logloss,0.02515757358916722,0.002681292921898039,20,105,binary:logistic,0.6845713693922582,gpu_hist,COMPLETE
40,0.7994929820629564,0.8542635915257174,0.4824995111463779,logloss,0.24226636969855306,0.007705601388093503,17,68,binary:logistic,0.5629787896734152,gpu_hist,COMPLETE
41,0.8027172541141813,0.005149660560851367,0.7840724983730925,logloss,3.5701564257924616,0.014293658966142977,20,129,binary:logistic,0.4985147633619038,gpu_hist,COMPLETE
42,0.8029251339412394,0.01555392649615872,0.7080624721124912,logloss,1.8665747362270266,0.017103555261948178,20,113,binary:logistic,0.4560963789039876,gpu_hist,COMPLETE
43,0.8024394946433553,0.01570759455256739,0.7099595569308269,logloss,2.331845132250373,0.025127706854550992,20,149,binary:logistic,0.46779414527584134,gpu_hist,COMPLETE
